time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444800000	10.0315	1.44315	6.90935	1.76677	22.1904	lidar	-9.25596e+61	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.0806	1.52397	7.34539	-0.626358	23.0921	radar	-9.25596e+61	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.2474	1.47584	7.3627	-0.618871	23.2316	lidar	-9.25596e+61	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.7481	1.46059	7.59541	0.779912	22.8023	radar	-9.25596e+61	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.721	1.46866	7.58596	2.13207	22.5791	lidar	-9.25596e+61	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0678	1.20972	7.84638	-1.01888	23.4435	radar	-9.25596e+61	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.5129	1.57541	8.20239	-2.72785	22.4763	lidar	-9.25596e+61	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.558	1.32138	8.20891	0.801474	22.0636	radar	-9.25596e+61	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.7406	1.75342	8.60711	-0.567607	22.5461	lidar	-9.25596e+61	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0483	1.83396	9.08946	0.789986	22.8392	radar	-9.25596e+61	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.2905	1.81859	9.24107	2.26529	22.5369	lidar	-9.25596e+61	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.3353	1.58464	9.0841	-0.559797	23.594	radar	-9.25596e+61	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
